申请学校,学位,专业,申请结果,入学年份,入学学期,通知时间,TOEFL,GRE,本科学校档次,本科专业,本科成绩和算法，排名,其他说明,url
Simon Fraser University,MA,Digital Media,AD小奖,2016,Fall,2016-04-02,,,双非,英语,3.6,2年国内互联网公司工作经验。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1962378&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Ryerson University,MS,Computer Science,被拒,2016,Fall,2016-04-01,"Overall: 95, 
                    R: 26 /
                    L: 24 /
                    S: 22 /
                    W: 23","Overall: 318, 
                    V: 152 /
                    Q: 167 /
                    AW: 3",211 & 985,Computer Engineering,3.46/4.00,3年工作经验。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1962029&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Simon Fraser University,MS,Computer Science,offer,2016,Fall,2016-03-25,"Overall: 95, 
                    R:  /
                    L:  /
                    S:  /
                    W:",,211 & 985,软件工程,91.6/100,无paper，gap一年，知名外企码农一年实习半年正式，竞赛获奖若干。。套磁成功。。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1960398&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of British Columbia,MS,Materials Engineering,被拒,2016,Fall,2016-03-31,"Overall: 104, 
                    R: 29 /
                    L: 23 /
                    S: 23 /
                    W: 29",,211 & 985,材料物理,89/100（后两年排名2/50）,两次校一奖，两次校优秀学生，一次潍柴社奖，校一级大创负责人，校优秀毕业生。无paper，无牛推。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1961517&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
The University of Tokyo,MS,Materials Engineering,AD无奖,2016,Fall,2016-02-09,"Overall: 100, 
                    R: 30 /
                    L: 26 /
                    S: 20 /
                    W: 24","Overall: 329, 
                    V: 159 /
                    Q: 170 /
                    AW: 3",211 & 985,材料科学与工程,89.49,小奖，无论文。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1961907&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
The University of Tokyo,MS,Chemistry,AD无奖,2016,Fall,2016-02-24,"Overall: 100, 
                    R: 30 /
                    L: 26 /
                    S: 20 /
                    W: 24","Overall: 329, 
                    V: 159 /
                    Q: 170 /
                    AW: 3",211 & 985,材料科学与工程,89.49,小奖，无论文。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1961907&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Politecnico di Milano,MS,Materials Engineering,AD无奖,2016,Fall,2015-11-21,"Overall: 100, 
                    R: 30 /
                    L: 26 /
                    S: 20 /
                    W: 24","Overall: 329, 
                    V: 159 /
                    Q: 170 /
                    AW: 3",211 & 985,材料科学与工程,89.49,小奖，无论文。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1961907&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Alberta,MS,Chemical Engineering,offer,2016,Fall,2016-03-31,"Overall: 100, 
                    R: 30 /
                    L: 26 /
                    S: 20 /
                    W: 24","Overall: 329, 
                    V: 159 /
                    Q: 170 /
                    AW: 3",211 & 985,材料科学与工程,89.49,小奖，无论文。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1961907&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Western University,Meng,Civil Engineering,AD无奖,2016,Fall,2016-03-22,,,双非,土木工程,均分88，rank6/284,无论文，有交换经验，有个团队的国家二等奖，有若干奖学金，很平凡的一枚理工女,http://bbs.gter.net/forum.php?mod=viewthread&tid=1961954&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Ottawa,MS,Civil Engineering,AD无奖,2016,Fall,2016-03-23,,,双非,土木工程,均分88，rank6/284,无论文，有交换经验，有个团队的国家二等奖，有若干奖学金，很平凡的一枚理工女,http://bbs.gter.net/forum.php?mod=viewthread&tid=1961954&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
